"id","parent_id","name","a_canceled","a_count","a_issued_l","a_issued_t","a_stolen","b_canceled","b_count","b_early","b_fixed","b_inside","b_invalid","b_outside","b_portable","b_stolen","b_valid","b_wtf","v_abs","v_count","vote_count_1","vote_count_2","vote_count_3","vote_count_4","vote_count_5","vote_count_6","vote_count_7"
77000100010000,77000100000000,"район Богородское",36,1084,1048,611,0,8779,44950,0,34775,35282,878,889,889,0,34786,0,1403,63266,3740,3329,361,7210,2563,17364,219
77000100030000,77000100000000,"район Восточное Измайлово ",51,1240,1189,60,0,11482,40600,0,28203,28306,472,812,812,0,28543,0,1083,44621,3087,2681,446,5864,2655,13560,250
77000100040000,77000100000000,"район Гольяново ",379,2605,2226,88,0,37780,103200,0,63354,63945,1117,1475,1475,0,63712,0,1450,105262,7437,5451,780,10409,5149,34070,416
77000100050000,77000100000000,"район Ивановское ",292,1930,1638,77,0,18005,67350,0,47875,47955,733,1390,1390,0,48532,0,1378,80298,4635,4806,632,9695,2976,25368,420
77000100060000,77000100000000,"район Измайлово ",414,1605,1191,55,0,7395,54200,0,45365,45567,766,1238,1235,0,45834,0,1154,63050,4706,4669,532,7976,3789,23881,281
77000100080000,77000100000000,"район Метрогородок ",108,555,447,80,0,3989,22150,0,17755,17793,502,368,355,0,17608,0,467,23888,1750,1681,197,2449,1110,10320,101
77000100110000,77000100000000,"район Перово",298,1835,1537,410,0,26438,77550,0,49425,49823,865,1289,1288,0,49848,0,1614,84035,5552,3796,465,7522,2702,29543,268
77000100120000,77000100000000,"район Восточный",328,480,152,3,0,3532,8000,0,4187,4254,104,214,214,0,4297,0,232,7867,908,678,55,935,335,1350,36
77000100130000,77000100000000,"район Преображенское",277,1185,908,64,0,3264,42150,0,37367,37613,1332,1273,1273,0,37308,0,1272,50652,4457,2791,472,6288,3368,19632,300
77000100140000,77000100000000,"район Северное Измайлово",273,1356,1083,64,0,25121,55613,0,28626,29414,625,1078,1076,0,29077,0,1023,56182,3947,2431,417,5846,3014,13160,262
77000100150000,77000100000000,"район Соколиная гора",199,1302,1103,79,0,10664,51795,0,39700,40065,506,1066,1066,0,40260,0,2025,60025,4151,3273,430,7478,2799,21885,244
