1,Алексанян Артур Олегович,7701,1,ab0040
2,Болотин Максим Олегович,7701,2,5e83ea
3,Бутузов Александр Викторович,7701,3,e97300
4,Венедиктов Александр Викторович,7701,4,e80000
5,Гончарук Григорий Иванович,7701,5,00a100
6,Драгункина Зинаида Федоровна,7701,6,cc8d00
7,Картавцева Лариса Руслановна,7710,1,5600d8
8,Кравцов Алексей Владимирович,7710,2,ab0040
9,Кузнецов Дмитрий Иванович,7710,3,5e83ea
10,Мерцалова Инна Борисовна,7710,4,e97300
11,Саблуков Александр Валентинович,7710,5,e80000
12,Фадеев Максим Анатольевич,7710,6,00a100
13,Бабушкин Андрей Владимирович,7711,1,cc8d00
14,Зубрилин Николай Григорьевич,7711,2,5600d8
15,Саватеев Вадим Витальевич,7711,3,ab0040
16,Силиверстов Игорь Витальевич,7711,4,5e83ea
17,Марченко Евгений Владимирович,7712,1,e97300
18,Сапронов Александр Сергеевич,7712,2,e80000
19,Тафинцева Лидия Васильевна,7712,3,00a100
20,Фокина Татьяна Михайловна,7712,4,cc8d00
21,Ходаков Владимир Владимирович,7712,5,5600d8
22,Шапошников Алексей Валерьевич,7712,6,ab0040
23,Добрынин Сергей Александрович,7713,1,5e83ea
24,Лебедев Сергей Эдуардович,7713,2,e97300
25,Морозов Николай Николаевич,7713,3,e80000
26,Портнова Татьяна Арториджевна,7713,4,00a100
27,Савицкая Светлана Анатольевна,7713,5,cc8d00
28,Шайжанов Родион Маратович,7713,6,5600d8
29,Захаров Дмитрий Александрович,7714,1,ab0040
30,Круглов Максим Сергеевич,7714,2,5e83ea
31,Крюков Алексей Сергеевич,7714,3,e97300
32,Михайлова Юлия Борисовна,7714,4,e80000
33,Теличенко Валерий Иванович,7714,5,00a100
34,Душенко Вячеслав Владимирович,7715,1,cc8d00
35,Крапухин Алексей Игоревич,7715,2,5600d8
36,Метельский Андрей Николаевич,7715,3,ab0040
37,Тимонин Максим Анатольевич,7715,4,5e83ea
38,Шилов Станислав Александрович,7715,5,e97300
39,Юрьев Михаил Владимирович,7715,6,e80000
40,Грищенко Елена Аркадьевна,7716,1,00a100
41,Лазарев Николай Леонидович,7716,2,cc8d00
42,Молев Антон Ильич,7716,3,5600d8
43,Мустафин Марат Махсутович,7716,4,ab0040
44,Парфенов Денис Андреевич,7716,5,5e83ea
45,Тимонов Михаил Леонидович,7716,6,e97300
46,Андреев Андрей Владимирович,7717,1,e80000
47,Брумель Игорь Николаевич,7717,2,00a100
48,Петров Михаил Владимирович,7717,3,cc8d00
49,Пинясов Николай Сергеевич,7717,4,5600d8
50,Пономарев Алексей Анатольевич,7717,5,ab0040
51,Сметанов Александр Юрьевич,7717,6,5e83ea
52,Бабыкина Галина Дмитриевна,7718,1,e97300
53,Бурд Семен Яковлевич,7718,2,e80000
54,Киреев Андрей Николаевич,7718,3,00a100
55,Махмутова Айгуль Фатиховна,7718,4,cc8d00
56,Назарова Ирина Александровна,7718,5,5600d8
57,Погорелов Владимир Васильевич,7718,6,ab0040
58,Чуканова Маргарита Алексеевна,7718,7,5e83ea
59,Карасева Вера Юрьевна,7719,1,e97300
60,Кругляков Виктор Михайлович,7719,2,e80000
61,Лапин Юрий Ерминингельдович,7719,3,00a100
62,Майоров Максим Александрович,7719,4,cc8d00
63,Новиков Михаил Михайлович,7719,5,5600d8
64,Анисимов Егор Игоревич,7702,1,ab0040
65,Золотарёва Светлана Андреевна,7702,2,5e83ea
66,Песков Михаил Владимирович,7702,3,e97300
67,Цапенко Сергей Валерьевич,7702,4,e80000
68,Шмелева Елена Игоревна,7702,5,00a100
69,Ярославская Ольга Владимировна,7702,6,cc8d00
70,Корсаков Евгений Геннадьевич,7720,1,5600d8
71,Молохов Александр Владимирович,7720,2,ab0040
72,Павленко Александр Александрович,7720,3,5e83ea
73,Тимченко Александр Николаевич,7720,4,e97300
74,Шибаев Андрей Вячеславович,7720,5,e80000
75,Шульмин Виталий Юрьевич,7720,6,00a100
76,Балабуткин Алексей Алексеевич,7721,1,cc8d00
77,Зотов Владимир Борисович,7721,2,5600d8
78,Катков Валерий Семенович,7721,3,ab0040
79,Клычков Андрей Евгеньевич,7721,4,5e83ea
80,Липагин Артём Владимирович,7721,5,e97300
81,Родионова Светлана Сергеевна,7721,6,e80000
82,Власов Александр Витальевич,7722,1,00a100
83,Волков Владимир Николаевич,7722,2,cc8d00
84,Караваева Марина Степановна,7722,3,5600d8
85,Святенко Инна Юрьевна,7722,4,ab0040
86,Солянин Валерий Владимирович,7722,5,5e83ea
87,Гуличева Елена Петровна,7723,1,e97300
88,Новиков Юрий Николаевич,7723,2,e80000
89,Платонов Владимир Михайлович,7723,3,00a100
90,Прочик Евгений Евгеньевич,7723,4,cc8d00
91,Шишкин Сергей Владимирович,7723,5,5600d8
92,Зотов Владимир Владимирович,7724,1,ab0040
93,Зотова Зоя Михайловна,7724,2,5e83ea
94,Ким Сергей Степанович,7724,3,e97300
95,Овчаренко Татьяна Иосифовна,7724,4,e80000
96,Протасов Роман Игоревич,7724,5,00a100
97,Тарасов Павел Михайлович,7724,6,cc8d00
98,Ананьев Олег Вячеславович,7725,1,5600d8
99,Антонов-Овсеенко Антон Антонович,7725,2,ab0040
100,Енгалычева Екатерина Александровна,7725,3,5e83ea
101,Козадаев Сергей Сергеевич,7725,4,e97300
102,Мещерякова Наталья Юрьевна,7725,5,e80000
103,Стебенкова Людмила Васильевна,7725,6,00a100
104,Балашов Евгений Борисович,7726,1,cc8d00
