id,parent_id,name,v_count,b_count,b_inside,b_early,b_outside,b_canceled,b_portable,b_fixed,b_invalid,b_valid,b_stolen,b_wtf,vote_count_1,vote_count_2,vote_count_3,vote_count_4,vote_count_5,vote_count_6,vote_count_7,vote_count_8
7701,77,ОИК №1,171520,121650,38751,931,3516,79383,3516,39633,1478,41671,0,0,5775,1995,3340,5107,6404,19050,,
7702,77,ОИК №2,175024,130895,31465,386,2072,97358,2072,31742,1189,32625,0,0,1266,1851,5444,3399,7604,13061,,
7703,77,ОИК №3,176760,126431,32446,658,1715,92270,1714,33004,1045,33673,0,0,5490,2149,1519,1925,4861,17729,,
7704,77,ОИК №4,173461,121900,35480,589,1533,84887,1532,35899,1115,36316,0,0,1290,19383,8828,3713,3102,,,
7705,77,ОИК №5,176494,126330,35146,673,1705,89482,1705,35763,1205,36263,0,3,9128,2260,8613,4066,12196,,,
7706,77,ОИК №6,175116,133905,33068,513,3066,97771,3065,33530,1254,35341,0,0,13509,5406,8759,5994,1673,,,
7707,77,ОИК №7,170873,128983,32702,624,2292,93989,2291,33165,1367,34089,0,0,2613,7481,1578,16257,2321,2282,1557,
7708,77,ОИК №8,178030,127259,32211,657,2781,92267,2780,32783,1360,34203,0,0,4043,11904,5858,7196,3347,1855,,
7709,77,ОИК №9,177787,130555,34399,691,2619,93537,2616,35045,1189,36472,0,0,1764,6845,1743,12961,1532,1699,3385,6543
7710,77,ОИК №10,175641,127950,31931,1250,2175,93844,2175,32999,1261,33913,0,0,18627,1242,3731,2596,3544,4173,,
7711,77,ОИК №11,175637,126550,29779,1079,1512,95259,1512,30784,1299,30997,0,0,9026,10466,4738,6767,,,,
7712,77,ОИК №12,155874,105130,29812,1020,1638,73680,1638,30589,1058,31169,0,0,5590,2010,1607,1875,3286,16801,,
7713,77,ОИК №13,166024,122300,31260,992,2029,89011,2029,32074,1110,32993,0,0,2442,1323,4517,15354,4932,4425,,
7714,77,ОИК №14,172804,127400,32395,1111,2446,92550,2445,33374,1170,34649,9,0,2035,5731,2351,9034,15498,,,
7715,77,ОИК №15,145492,107508,26590,312,2059,78859,2058,26808,1031,27835,0,0,1634,3467,15423,4064,1953,1294,,
7716,77,ОИК №16,145793,104113,29538,307,1823,72752,1823,29747,1090,30480,0,0,3324,1422,14476,729,6098,4431,,
7717,77,ОИК №17,147050,109450,31108,283,2069,76273,2068,31257,1228,32097,0,0,1628,1210,5703,2218,3148,18190,,
7718,77,ОИК №18,145360,111442,31333,262,2564,77545,2563,31514,1016,33061,0,0,1282,3416,2117,654,13921,1489,10182,
7719,77,ОИК №19,149223,100000,30500,259,2268,67232,2268,30589,1215,31642,0,0,4305,16855,6073,2567,1842,,,
7720,77,ОИК №20,150742,111423,31733,286,1486,78204,1486,31954,1196,32244,0,0,2679,2620,2356,6379,17009,1201,,
